Dataset,Parameter,RMSE
dataset_1,TOT-RF (mm),0.5773202947248467
dataset_2,Benzene (µg/m³),1.7334314429806275
dataset_2,CO (mg/m³),0.24992196759360838
dataset_2,NH3 (µg/m³),8.646401155688375
dataset_2,NO (µg/m³),11.517817702258435
dataset_2,NO2 (µg/m³),12.127179592433244
dataset_2,NOx (ppb),20.488138611598686
dataset_2,Ozone (µg/m³),9.018950054833267
dataset_2,PM10 (µg/m³),27.702916197412044
dataset_2,PM2.5 (µg/m³),10.68892464275589
dataset_2,SO2 (µg/m³),3.8976684488912716
dataset_2,TOT-RF (mm),0.29460702911207143
dataset_3,Benzene (µg/m³),1.2996168178624001
dataset_3,CO (mg/m³),0.447445051827018
dataset_3,PM10 (µg/m³),67.8782925267237
dataset_3,SO2 (µg/m³),7.440628503000099
dataset_3,TOT-RF (mm),0.2978930527306209
dataset_3,Toluene (µg/m³),3.32862937689555
dataset_3,Xylene (µg/m³),2.9031294115848536
dataset_4,TOT-RF (mm),0.0
dataset_5,AT (°C),0.8542951025598801
dataset_5,CO (mg/m³),0.7553914227219057
dataset_5,NH3 (µg/m³),2.361347506086935
dataset_5,NO (µg/m³),8.173019779215243
dataset_5,NO2 (µg/m³),6.787146448720975
dataset_5,NOx (ppb),8.3180448677808
dataset_5,Ozone (µg/m³),6.617254114803189
dataset_5,PM10 (µg/m³),24.572447636438117
dataset_5,PM2.5 (µg/m³),10.453341461131615
dataset_5,RF (mm),0.16501925809203435
dataset_5,RH (%),4.544758198306705
dataset_5,SO2 (µg/m³),8.144163037039714
dataset_5,SR (W/mt2),22.667538854369063
dataset_5,TOT-RF (mm),0.16501925809203435
dataset_5,WD (deg),46.30927754722086
dataset_5,WS (m/s),0.35049388090766925
dataset_6,Benzene (µg/m³),1.2939833897934996
dataset_6,CO (mg/m³),0.3887608374618014
dataset_6,MP-Xylene (µg/m³),3.339498538882083
dataset_6,NH3 (µg/m³),5.571180811729749
dataset_6,NO (µg/m³),0.9524108776340152
dataset_6,NO2 (µg/m³),3.6612260890800234
dataset_6,NOx (ppb),8.494079216157155
dataset_6,Ozone (µg/m³),2.4801389158600937
dataset_6,PM10 (µg/m³),95.39755681542026
dataset_6,PM2.5 (µg/m³),48.87466790509502
dataset_6,RF (mm),0.5788329526867918
dataset_6,SR (W/mt2),56.087566942770195
dataset_6,TOT-RF (mm),0.4694038769282692
dataset_6,Toluene (µg/m³),1.7504379901671747
dataset_6,WD (deg),59.5880552857588
dataset_6,WS (m/s),0.3017481203545951
dataset_9,TOT-RF (mm),0.15471652032557828
dataset_10,TOT-RF (mm),0.1872077595112806
dataset_11,TOT-RF (mm),0.012181668266839358
dataset_12,TOT-RF (mm),0.1746611989810548
dataset_13,TOT-RF (mm),0.25993339076162514
